-2048,-8.42662676858730e-08 + 3.56229402670438e-07i
-2047.5,-4.09454091243600e-07 + 6.47915927992626e-08i
-2047,-2.28737701168935e-07 - 4.08319321604234e-07i
-2046.5,3.49335254223870e-07 - 3.84000020586806e-07i
-2046,5.07707349106656e-07 + 2.38034976784984e-07i
-2045.5,-8.85861094479523e-08 + 5.81552272560515e-07i
-2045,-5.94818594989999e-07 + 7.82743282690124e-08i
-2044.5,-2.38803879226701e-07 - 5.46034359255598e-07i
-2044,4.42995581106942e-07 - 3.70512395420769e-07i
-2043.5,4.55957870681978e-07 + 3.01260932644709e-07i
-2043,-1.41478313842036e-07 + 4.85165275579836e-07i
-2042.5,-4.56486798749989e-07 + 1.39594066583815e-08i
-2042,-1.44340346841521e-07 - 3.76346868107003e-07i
-2041.5,2.58285761500776e-07 - 2.33571041952096e-07i
-2041,2.72299384929120e-07 + 1.21228799956907e-07i
-2040.5,1.32995955359760e-08 + 2.59177451139569e-07i
-2040,-2.01191477866569e-07 + 1.24883719990199e-07i
-2039.5,-1.98096982317875e-07 - 1.12726564804877e-07i
-2039,1.30490905858593e-08 - 2.25543354270830e-07i
-2038.5,2.09238209702978e-07 - 7.75812031283962e-08i
-2038,1.42300605243673e-07 + 1.59945436783993e-07i
-2037.5,-9.46063034024114e-08 + 1.71376265817313e-07i
-2037,-1.64298481430958e-07 - 3.24370851290112e-08i
-2036.5,-9.52103751394873e-09 - 1.29683439986650e-07i
-2036,8.30060137291255e-08 - 2.05764520422314e-08i
-2035.5,-6.39541031244306e-10 + 4.27069045683126e-08i
-2035,-2.55014196426373e-08 - 4.54062906163344e-08i
-2034.5,9.69778276016520e-08 - 4.18014649561371e-08i
-2034,9.23036995170712e-08 + 1.35134407497350e-07i
-2033.5,-1.41895213301435e-07 + 1.66928891653928e-07i
-2033,-2.46905707990130e-07 - 1.06708211045081e-07i
-2032.5,2.97231197987635e-08 - 3.09659887176572e-07i
-2032,3.34941136104217e-07 - 7.76875961339130e-08i
-2031.5,1.95340403519317e-07 + 3.10197072472818e-07i
-2031,-2.33755646839029e-07 + 2.98997686165592e-07i
-2030.5,-3.66193210143972e-07 - 1.15299826242143e-07i
-2030,-2.61790926714411e-08 - 3.81581745756421e-07i
-2029.5,3.40503394147262e-07 - 1.66384416466769e-07i
-2029,2.80880129099881e-07 + 2.49972504695606e-07i
-2028.5,-1.26920458753954e-07 + 3.50412546090695e-07i
-2028,-3.65181215766786e-07 + 5.82157744233314e-09i
-2027.5,-1.24751993124672e-07 - 3.26855864041242e-07i
-2027,2.47626914195997e-07 - 2.10825834234818e-07i
-2026.5,2.53254407223125e-07 + 1.46573428172481e-07i
-2026,-4.46341664739336e-08 + 2.51108593585236e-07i
-2025.5,-2.12420121381562e-07 + 4.01810695827010e-08i
-2025,-9.61512798269837e-08 - 1.51188170538497e-07i
-2024.5,8.33270449307477e-08 - 1.19351100780207e-07i
-2024,1.13397012779792e-07 + 2.27947345443624e-08i
-2023.5,2.11745788680773e-08 + 8.76820187012406e-08i
-2023,-5.44313718542355e-08 + 4.53608515749160e-08i
-2022.5,-5.23965018595085e-08 - 2.51693342279147e-08i
-2022,7.52922074687135e-09 - 4.93156513958759e-08i
-2021.5,4.50610054825162e-08 + 3.43046652195866e-09i
-2021,-9.24688869918811e-09 + 4.74539708639199e-08i
-2020.5,-6.05113493201692e-08 - 1.78227326785851e-08i
-2020,2.14813185572815e-08 - 8.31378256793691e-08i
-2019.5,1.09820202320865e-07 + 1.48955767859116e-08i
-2019,3.09670966647246e-09 + 1.33079477590559e-07i
-2018.5,-1.46599938855019e-07 + 2.91888905476490e-08i
-2018,-5.68270996093023e-08 - 1.47685320271707e-07i
-2017.5,1.38129767263129e-07 - 7.86249952644536e-08i
-2017,8.92989566181335e-08 + 1.23381482228929e-07i
-2016.5,-1.10483358739533e-07 + 8.81103277769468e-08i
-2016,-7.97044224787324e-08 - 1.05444669745713e-07i
-2015.5,1.10658666785390e-07 - 7.26919901217205e-08i
-2015,7.62760130057494e-08 + 1.23098332638349e-07i
-2014.5,-1.34234181117798e-07 + 9.61614285421852e-08i
-2014,-1.31346608062133e-07 - 1.32382335232828e-07i
-2013.5,1.07172847874093e-07 - 1.73084507920640e-07i
-2013,2.06596858398633e-07 + 5.45134870855168e-08i
-2012.5,2.01956151524296e-08 + 2.15278658344253e-07i
-2012,-1.86265993865065e-07 + 1.02214248620669e-07i
-2011.5,-1.71106302820911e-07 - 1.15576749559754e-07i
-2011,1.09214722404660e-08 - 2.06557475873614e-07i
-2010.5,1.94376156933962e-07 - 1.09077738896790e-07i
-2010,2.19292314002084e-07 + 1.30901464667765e-07i
-2009.5,-2.47302087350021e-08 + 2.94805016759492e-07i
-2009,-3.17765564694650e-07 + 1.04656604410502e-07i
-2008.5,-2.31234601501262e-07 - 2.82237991477974e-07i
-2008,1.95728685446761e-07 - 3.28907814650670e-07i
-2007.5,3.78385844750778e-07 + 7.71745046757033e-08i
-2007,4.79688013060864e-08 + 3.72223293104712e-07i
-2006.5,-3.16263135454603e-07 + 1.54281772052345e-07i
-2006,-2.22812301735667e-07 - 2.27119600043624e-07i
